text1,text2
A man is eating pasta.,A man is eating pasta.
A man is eating pasta.,Someone in a gorilla costume is playing a set of drums.
A man is eating pasta.,The girl is carrying a baby.
A man is eating pasta.,A man is riding a horse.
A man is eating pasta.,A woman is playing violin.
A man is eating pasta.,Two men pushed carts through the woods.
A man is eating pasta.,A man is riding a white horse on an enclosed ground.
A man is eating pasta.,A monkey is playing drums.
A man is eating pasta.,A cheetah is running behind its prey.
Someone in a gorilla costume is playing a set of drums.,A man is eating pasta.
Someone in a gorilla costume is playing a set of drums.,Someone in a gorilla costume is playing a set of drums.
Someone in a gorilla costume is playing a set of drums.,The girl is carrying a baby.
Someone in a gorilla costume is playing a set of drums.,A man is riding a horse.
Someone in a gorilla costume is playing a set of drums.,A woman is playing violin.
Someone in a gorilla costume is playing a set of drums.,Two men pushed carts through the woods.
Someone in a gorilla costume is playing a set of drums.,A man is riding a white horse on an enclosed ground.
Someone in a gorilla costume is playing a set of drums.,A monkey is playing drums.
Someone in a gorilla costume is playing a set of drums.,A cheetah is running behind its prey.
A cheetah chases prey on across a field.,A man is eating pasta.
A cheetah chases prey on across a field.,Someone in a gorilla costume is playing a set of drums.
A cheetah chases prey on across a field.,The girl is carrying a baby.
A cheetah chases prey on across a field.,A man is riding a horse.
A cheetah chases prey on across a field.,A woman is playing violin.
A cheetah chases prey on across a field.,Two men pushed carts through the woods.
A cheetah chases prey on across a field.,A man is riding a white horse on an enclosed ground.
A cheetah chases prey on across a field.,A monkey is playing drums.
A cheetah chases prey on across a field.,A cheetah is running behind its prey.
